actor_id,name
60271057,Julanne Chidi Hill
60527673,Virginia Leith
60613344,Verna Felton
60863078,Michael Sacks
61045305,Francesca Jarvis
61349587,An Kil-kang
61385742,Zamira Saunders
61471476,Jason Isaacs
61630105,Warren Brown
61716154,Val Bettin
62125833,Wentworth Miller
62181631,John Cazale
62386927,Lisa Haas
62722315,Tyler Perry
62882908,Timothy Busfield
62932268,Peter Baker
63144949,Aleksey Ptitsyn
63292998,Andrew Feinstein
63360768,Tim McGraw
63739719,Willie
63777689,Deborah Kara Unger
64076943,Zhang Xinyi
64129817,Alexandra Shipp
64304210,Brian Bonsall
64501666,Chris Sanders
64640466,Caroleen Feeney
64645889,Michael Dixon
64796310,Ryan Bollman
66598331,Gregg Allman
66661460,William Richert
66669113,Adriano Luz
66800888,Tony Nikolakopoulos
67092942,Heather Berman
67236150,Raphael Fejtö
67286762,Hiroyuki Miyasako
67772993,Lama Chonjor
67896212,Noriko Aota
68203791,David Sanin Paz
68276508,Karen Gayle
68746419,Michel Philippe
69173309,Massimo Sarchielli
69183176,Lotti Törnros
69535366,Patricia Richardson
69805243,Vincent D'Onofrio
70110849,Jay Klaitz
70764172,Grace Smith
70972499,Jan Shepard
71164688,Christoph Luser
71228501,Masa Niemi
71286972,Ingrid Bergman
71559655,Kirsten Dunst
71687545,Julian Weigend
72248459,Max Beesley
72601914,George O'Brien
72951487,Gina Gershon
73108518,David Dixon
73298067,Rinko Kikuchi
74299371,Ebon Moss-Bachrach
74550760,Chus Lampreave
74653378,Kad Merad
74719786,Amanda Bearse
74883324,Terrell Mitchell
75101576,Doug Bradley
75578894,Angeline Ball
76039559,Ariel Schulman
76058705,Lew Kelly
76677224,Dominique Valadié
76775316,Nora Miao
76823578,Tushka Bergen
76849144,Sayoko Amano
77680353,Marisa Coughlan
77899577,Jo Morrow
77974434,Silvano Tranquilli
78217264,Nikolai Rybnikov
78353702,Irene Worth
78676506,Bryce Johnson
78780490,Ilya Baskin
78844615,Lisa Maria Potthoff
79385047,Marianne Koch
79456377,Julie Bernard
79829822,Caveh Zahedi
80030050,Eddie Redmayne
80293258,Christopher Evan Welch
80477680,Martti Suosalo
80607009,Jeremy Allen White
